manual_id,component,issue_type,description,resolution_steps
M001,Authentication,Login Failure,"User cannot login due to invalid session tokens","1. Clear cache and cookies. 2. Restart authentication service. 3. Re-generate session tokens."
M002,Authentication,Password Reset,"Users not receiving password reset emails","1. Verify SMTP server connectivity. 2. Check email queue backlog. 3. Restart mail service."
M003,Database,Slow Query,"User profile retrieval takes more than 10s","1. Run EXPLAIN plan. 2. Add missing indexes. 3. Optimize SQL joins."
M004,Database,Deadlock,"Frequent deadlocks during high load","1. Identify conflicting transactions. 2. Use shorter transactions. 3. Apply row-level locking."
M005,Database,Connection Pool Exhaustion,"App fails to acquire DB connections","1. Increase pool size. 2. Fix unclosed connections in code. 3. Monitor active sessions."
M006,Server,High CPU,"CPU spikes above 90% during batch jobs","1. Profile running processes. 2. Optimize queries. 3. Scale horizontally."
M007,Server,High Memory,"Heap memory usage > 80% causing crashes","1. Enable GC logs. 2. Tune JVM memory. 3. Fix memory leaks in code."
M008,Server,Disk Space,"Logs filling up disk","1. Configure log rotation. 2. Archive old logs. 3. Increase disk size."
M009,Frontend,UI Broken,"CSS/JS missing after deployment","1. Clear CDN cache. 2. Verify static file path. 3. Redeploy frontend."
M010,Frontend,Cross-Browser Issue,"UI works in Chrome but not in Firefox","1. Test CSS compatibility. 2. Use polyfills. 3. Update JS libraries."
M011,Email,SMTP Timeout,"Emails not being delivered","1. Test SMTP with telnet. 2. Verify firewall rules. 3. Restart SMTP service."
M012,Email,Bounced Emails,"Users report mails bouncing back","1. Validate DNS records. 2. Update SPF/DKIM. 3. Monitor blacklists."
M013,Networking,API Timeout,"External API calls take >30s","1. Check network latency. 2. Optimize API payload. 3. Enable retries with backoff."
M014,Networking,DNS Resolution,"App fails to resolve hostnames","1. Verify /etc/resolv.conf. 2. Flush DNS cache. 3. Restart DNS service."
M015,Networking,Firewall Block,"Unable to connect to external service","1. Validate firewall rules. 2. Allow required ports. 3. Whitelist target IP."
M016,Deployment,Build Failure,"Maven build fails with missing dependencies","1. Run mvn clean install. 2. Update repo mirrors. 3. Clear local .m2 cache."
M017,Deployment,Rollback Required,"New release causing downtime","1. Identify breaking changes. 2. Rollback deployment. 3. Run post-mortem."
M018,Deployment,Service Crash,"App crashes after restart","1. Check logs for stack trace. 2. Verify config files. 3. Revert latest changes."
M019,Security,Unauthorized Access,"Brute-force login attempts detected","1. Enable rate-limiting. 2. Block suspicious IPs. 3. Enable MFA."
M020,Security,Token Expiry,"API tokens expiring too soon","1. Update token TTL. 2. Refresh tokens periodically. 3. Check OAuth config."
M021,Payment,Gatway Failure,"Transactions not processed","1. Check payment API status. 2. Validate API keys. 3. Retry failed payments."
M022,Payment,Duplicate Charge,"Users charged twice","1. Implement idempotent API calls. 2. Reconcile transaction logs. 3. Refund users."
M023,Payment,Currency Mismatch,"Prices shown in wrong currency","1. Validate currency conversion API. 2. Check locale settings. 3. Fix rounding issues."
M024,Storage,S3 Upload Failure,"Files not uploading to S3","1. Verify IAM roles. 2. Check bucket policy. 3. Retry uploads."
M025,Storage,Corrupted Files,"Downloaded files corrupted","1. Validate checksum. 2. Enable multipart upload. 3. Retry transfer."
M026,API,Invalid Response,"API returning 500 errors","1. Inspect server logs. 2. Validate input payload. 3. Add fallback response."
